i1;i2;i3;i4;i5;i6;i7;i8;i9;only l3 correct;only l+3 correct;both correct;only l+3 correct (1);only l+3 correct (2);only l+3 correct (3);only l+3 correct (4)
2;3;5;6;6;9;9;9;9;204;60;156;12;24;0;24
3;4;6;6;6;7;9;9;9;832;112;320;12;52;6;42
2;4;4;5;6;8;9;9;9;88;16;56;4;8;0;4
3;3;5;6;9;9;9;9;9;1632;480;1248;36;240;12;192
2;4;6;7;8;9;9;9;9;1526;878;2038;66;390;138;284
3;4;6;6;7;9;9;9;9;1454;806;1786;36;408;64;298
3;5;5;5;6;7;8;9;9;206;26;82;2;12;2;10
2;4;8;9;9;9;9;9;9;2616;2328;8472;24;1176;144;984
3;4;5;6;6;9;9;9;9;576;216;648;24;96;12;84
5;5;6;8;8;8;9;9;9;7296;6432;9120;192;2112;1360;2768
2;5;6;6;6;9;9;9;9;576;252;720;36;144;0;72
4;5;6;8;8;9;9;9;9;6090;5010;12486;44;1956;1006;2004
3;6;7;7;8;9;9;9;9;5426;4778;10774;198;1948;930;1702
2;3;4;6;6;9;9;9;9;210;30;78;6;12;0;12
3;5;6;7;7;9;9;9;9;2784;1920;3912;80;972;140;728
4;4;5;6;7;8;9;9;9;1240;628;1100;22;304;94;208
4;4;4;6;6;8;8;9;9;210;66;150;30;12;0;24
4;4;7;8;8;8;9;9;9;4924;4276;6092;304;1096;980;1896
5;5;5;8;9;9;9;9;9;6480;5400;15336;0;2700;432;2268
5;5;6;6;8;9;9;9;9;4800;3504;8160;0;1656;272;1576
